km,date,day,month,year,group,area
226,23/3/2017,23,3,2017,nema,south
226,17/4/2017,17,4,2017,nema,south
139,24/4/2017,24,4,2017,nema,south
224,8/5/17,8,5,2017,nema,south
136,22/5/2017,22,5,2017,nema,south
224,12/6/17,12,6,2017,nema,south
138,24/6/2017,24,6,2017,nema,south
222,14/7/2017,14,7,2017,nema,south
139,20/7/2017,20,7,2017,nema,south
210,17/8/2017,17,8,2017,nema,south
114,18/8/2017,18,8,2017,nema,south
227,9/9/17,9,9,2017,nema,south
138,12/9/17,12,9,2017,nema,south
236,17/10/2017,17,10,2017,nema,south
47.8,20/10/2017,20,10,2017,nema,south
88.4,26/10/2017,26,10,2017,nema,south
232,14/11/2017,14,11,2017,nema,south
140,27/11/2017,27,11,2017,nema,south
224,6/12/17,6,12,2017,nema,south
120,14/12/2017,14,12,2017,nema,south
227,4/1/18,4,1,2018,nema,south
106.5,11/1/18,11,1,2018,nema,south
142,8/2/18,8,2,2018,nema,south
226,19/2/2018,19,2,2018,nema,south
134.4,9/3/18,9,3,2018,nema,south
225.1,14/3/2018,14,3,2018,nema,south
222,5/4/18,5,4,2018,nema,south
137,11/4/18,11,4,2018,nema,south
44,31/1/2012,31,1,2012,sulcecli3,north
80,31/1/2012,31,1,2012,nortececli3,north
80,7/2/12,7,2,2012,nortececli3,north
43,9/3/12,9,3,2012,sulcecli3,north
77,25/4/2012,25,4,2012,nortececli3,north
76,11/5/12,11,5,2012,nortececli3,north
48,15/6/2012,15,6,2012,sulcecli3,north
71,22/6/2012,22,6,2012,nortececli3,north
49,29/6/2012,29,6,2012,sulcecli3,north
79,5/7/12,5,7,2012,nortececli3,north
50,12/7/12,12,7,2012,sulcecli3,north
78,20/7/2012,20,7,2012,nortececli3,north
50,26/7/2012,26,7,2012,sulcecli3,north
80,2/8/12,2,8,2012,nortececli3,north
51,9/8/12,9,8,2012,sulcecli3,north
83,16/8/2012,16,8,2012,nortececli3,north
52,24/8/2012,24,8,2012,sulcecli3,north
76,31/8/2012,31,8,2012,nortececli3,north
48,6/9/12,6,9,2012,sulcecli3,north
78,13/9/2012,13,9,2012,nortececli3,north
49,4/10/12,4,10,2012,sulcecli3,north
77,11/10/12,11,10,2012,nortececli3,north
49,16/10/2012,16,10,2012,sulcecli3,north
80,31/10/2012,31,10,2012,nortececli3,north
52,6/11/12,6,11,2012,sulcecli3,north
78,14/11/2012,14,11,2012,nortececli3,north
47,21/11/2012,21,11,2012,sulcecli3,north
77,27/11/2012,27,11,2012,nortececli3,north
49,4/12/12,4,12,2012,sulcecli3,north
80,9/5/13,9,5,2013,nortececli3,north
53,16/5/2013,16,5,2013,sulcecli3,north
80,22/5/2013,22,5,2013,nortececli3,north
50,29/5/2013,29,5,2013,sulcecli3,north
80,6/6/13,6,6,2013,nortececli3,north
50,12/6/13,12,6,2013,sulcecli3,north
79,20/6/2013,20,6,2013,nortececli3,north
50,27/6/2013,27,6,2013,sulcecli3,north
77,3/7/13,3,7,2013,nortececli3,north
50,10/7/13,10,7,2013,sulcecli3,north
79,18/7/2013,18,7,2013,nortececli3,north
50,25/7/2013,25,7,2013,sulcecli3,north
75,1/8/13,1,8,2013,nortececli3,north
51,8/8/13,8,8,2013,sulcecli3,north
53,15/8/2013,15,8,2013,nortececli3,north
50,21/8/2013,21,8,2013,sulcecli3,north
83,29/8/2013,29,8,2013,nortececli3,north
50,4/9/13,4,9,2013,sulcecli3,north
79,11/9/13,11,9,2013,nortececli3,north
50,19/9/2013,19,9,2013,sulcecli3,north
80,27/9/2013,27,9,2013,nortececli3,north
51,2/10/13,2,10,2013,sulcecli3,north
78,10/10/13,10,10,2013,nortececli3,north
51,16/10/2013,16,10,2013,sulcecli3,north
80,25/10/2013,25,10,2013,nortececli3,north
